Cenário,Ano,Capital,Renda Anual Bruta,IR Pago,Renda Anual Líquida,Renda Mensal Líquida
Realista,2025,1000000,124881.24999999997,13366.71875,111514.53124999997,9292.877604166664
Realista,2026,1000000,109668.87499999999,12367.053124999991,97301.821875,8108.48515625
Realista,2027,1000000,100049.5,10858.662500000006,89190.8375,7432.569791666666
Otimista,2025,1000000,124343.74999999994,13272.656249999985,111071.09374999996,9255.924479166662
Otimista,2026,1000000,106215.00000000006,11606.375000000015,94608.62500000004,7884.052083333337
Otimista,2027,1000000,96752.5,9962.9375,86789.5625,7232.463541666667
Pessimista,2025,1000000,125687.49999999999,13507.8125,112179.68749999999,9348.307291666666
Pessimista,2026,1000000,115670.00000000003,13461.0,102209.00000000003,8517.41666666667
Pessimista,2027,1000000,107618.74999999997,12170.78125,95447.96874999997,7953.997395833331
