Cenário,Ano,Renda Anual Bruta,IR Retido Anual,Renda Anual Líquida,Renda Mensal Bruta,IR Retido Mensal,Renda Mensal Líquida,Alíquota Efetiva %
Otimista,2026,106215.00000000006,11606.375000000007,94608.62500000004,8851.250000000004,967.1979166666674,7884.052083333337,10.927246622416797
Otimista,2027,96752.5,9962.9375,86789.5625,8062.708333333334,830.2447916666667,7232.463541666667,10.29734373788791
Otimista,2028,95546.00000000003,9426.800000000003,86119.20000000001,7962.166666666668,785.5666666666668,7176.600000000001,9.866242438197308
Pessimista,2026,115670.00000000003,13461.000000000004,102209.00000000003,9639.16666666667,1121.7500000000005,8517.41666666667,11.637416789141524
Pessimista,2027,107618.74999999997,12170.781249999993,95447.96874999997,8968.229166666664,1014.2317708333328,7953.997395833331,11.309164295255238
Pessimista,2028,104896.00000000001,11588.050000000003,93307.95000000001,8741.333333333334,965.6708333333336,7775.6625,11.047180064063454
Realista,2026,109668.87499999999,12367.053124999997,97301.821875,9139.072916666666,1030.5877604166665,8108.485156249999,11.276721061467985
Realista,2027,100049.5,10858.662499999999,89190.8375,8337.458333333332,904.8885416666665,7432.569791666666,10.853290121389911
Realista,2028,97772.00000000004,10353.850000000008,87418.15000000004,8147.666666666671,862.8208333333339,7284.8458333333365,10.589790533076958
