Cenário,Ano,Capital Inicial,Renda Anual Bruta,IR Pago,Renda Anual Líquida,Valor Reinvestido,Valor Resgatado,Capital Final,Renda Mensal Resgatada
Realista - Reinvest 15%,2025,1000000.0,124881.24999999997,13366.71875,111514.53124999997,16727.179687499996,94787.35156249997,1016727.1796875,7898.945963541664
Realista - Reinvest 15%,2026,1016727.1796875,111503.32597825097,12573.919044826733,98929.40693342424,14839.411040013634,84089.99589341061,1031566.5907275137,7007.499657784218
Realista - Reinvest 15%,2027,1031566.5907275137,103207.72161899238,11201.433454985716,92006.28816400666,13800.943224600998,78205.34493940567,1045367.5339521146,6517.112078283805
Otimista - Reinvest 15%,2025,1000000.0,124343.74999999994,13272.656249999985,111071.09374999996,16660.664062499993,94410.42968749997,1016660.6640625,7867.535807291664
Otimista - Reinvest 15%,2026,1016660.6640625,107984.61243339849,11799.744914858398,96184.8675185401,14427.730127781013,81757.13739075908,1031088.394190281,6813.094782563257
Otimista - Reinvest 15%,2027,1031088.394190281,99760.37985889518,10272.669228293133,89487.71063060204,13423.156594590306,76064.55403601174,1044511.5507848713,6338.712836334312
Pessimista - Reinvest 15%,2025,1000000.0,125687.49999999999,13507.8125,112179.68749999999,16826.953124999996,95352.73437499999,1016826.953125,7946.061197916665
Pessimista - Reinvest 15%,2026,1016826.953125,117616.37366796879,13687.507616015631,103928.86605195315,15589.329907792973,88339.53614416019,1032416.283032793,7361.628012013349
Pessimista - Reinvest 15%,2027,1032416.283032793,111107.34985963537,12565.312739730216,98542.03711990516,14781.305567985773,83760.73155191938,1047197.5886007787,6980.060962659948
