Ativo,Alocação %,Valor Investido,Renda Anual Bruta,Alíquota IR,IR Retido Anual,Renda Anual Líquida,Renda Mensal Bruta,IR Retido Mensal,Renda Mensal Líquida
Tesouro IPCA+ Juros Semestrais,25.0,250000.0,27618.874999999985,17.5,4833.303124999997,22785.571874999987,2301.5729166666656,402.7752604166664,1898.797656249999
CDB 100% CDI,25.0,250000.0,30625.0,17.5,5359.375,25265.625,2552.0833333333335,446.6145833333333,2105.46875
LCI/LCA 90% CDI,20.0,200000.0,22050.0,5.0,1102.5,20947.5,1837.5,91.875,1745.625
FIIs,15.0,150000.0,14250.0,0.0,0.0,14250.0,1187.5,0.0,1187.5
Ações Dividendos,10.0,100000.0,9000.0,0.0,0.0,9000.0,750.0,0.0,750.0
Reserva Emergência,5.0,50000.0,6125.0,17.5,1071.875,5053.125,510.4166666666667,89.32291666666667,421.09375
TOTAL,100.0,1000000.0,109668.87499999999,11.276721061467985,12367.053124999997,97301.821875,9139.072916666666,1030.5877604166665,8108.485156249999
